tanth          M1coeff        M2coeff        lam1           lam2           lam3           lam4           lam5           m3             m5             mH             vDelta         vphi           mu2sq          mu3sq          
0.00073        0.39217        -19.25946      0.03235        0.65015        -0.88736       0.95932        0.25845        317.55003      341.30852      304.97747      0.06391        246.21993      -7843.76108    29835.00128    
0.00155        4.45607        -12.82595      0.03235        1.01796        -0.50132       0.64324        -0.81612       690.11817      653.27218      707.82174      0.1348         246.2197       -7843.43461    328087.27102   
0.00633        14.00664       -1.78599       0.03237        0.35687        0.5302         0.09816        -1.47579       583.45849      500.93363      620.61341      0.55116        246.21506      -7839.38144    252402.44292   
0.00876        16.77459       -6.19817       0.03243        0.99413        0.43113        -0.12441       1.97041        627.14527      716.01111      577.60442      0.76214        246.21056      -7844.62662    332447.72981   
0.00286        4.58633        7.15403        0.03235        1.60084        0.20813        -0.02958       2.4738         595.26406      710.16125      528.52888      0.24883        246.21899      -7843.49063    235234.63537   
0.01095        0.96035        -6.70314       0.0318         1.04083        0.55804        0.0436         1.44147        242.83766      382.45013      122.67269      0.95281        246.20525      -7709.65828    -23572.98331   
0.00184        1.45839        -6.81453       0.03235        0.23503        -0.11814       0.60332        -0.32904       357.96801      328.90698      371.64736      0.16004        246.21958      -7843.65903    89663.11289    
0.00597        2.63986        25.13748       0.03236        1.0101         0.87386        -0.20446       -0.5423        246.00084      166.72611      277.27146      0.51992        246.21561      -7846.48757    -78314.12002   
0.00028        0.08097        0.37966        0.03235        1.20393        0.1057         0.26407        2.136          338.41896      493.98478      223.11567      0.02465        246.21999      -7843.78071    33299.38624    
0.00769        5.71897        3.55387        0.03235        0.88672        0.34435        0.20693        -0.60386       333.50372      273.20599      359.87598      0.66917        246.21273      -7841.3173     -14579.69491   
0.00805        4.00182        -9.26382       0.03236        0.66921        1.10244        -0.28313       0.74206        330.19341      392.34039      294.23134      0.7009         246.21202      -7842.19377    50337.635      
0.00657        0.79365        -19.50782      0.0324         0.55124        -1.038         1.09418        -0.01273       143.72034      140.52186      145.39303      0.57166        246.21469      -7857.12035    -46635.24065   
0.00542        3.05333        -19.73016      0.03235        0.9186         -0.69426       0.77244        -0.07545       309.6416       301.974        313.40223      0.47142        246.21639      -7842.98165    -17844.79938   
0.00724        6.22638        -20.92039      0.03236        1.45349        -0.42969       0.56063        -1.2254        335.60165      195.3917       387.10998      0.63007        246.21355      -7845.79068    -100825.42613  
0.00628        12.39791       24.57426       0.03235        1.34621        -0.36199       0.3925         -2.57634       515.51064      331.23769      586.30498      0.54648        246.21515      -7838.3926     24509.41818    
0.00531        7.50515        -11.94753      0.03235        0.42272        0.26381        0.26977        -1.02781       463.47503      390.42118      495.97933      0.46246        246.21653      -7841.38796    132361.97155   
0.00286        4.62977        15.59941       0.03235        0.39435        0.8854         -0.29126       -0.24774       523.76876      509.27358      530.86708      0.24897        246.21899      -7843.35063    219031.31763   
0.00437        8.37187        11.39916       0.03235        0.45801        -1.15347       1.18272        -1.67986       531.59484      425.20584      577.48282      0.38045        246.21765      -7841.52932    176161.12083   
0.01032        21.15106       -12.10031      0.03236        0.64335        -0.51078       0.74748        -2.78961       521.85126      321.03879      597.43772      0.89823        246.20689      -7827.96901    109681.91616   
0.00747        4.24079        24.48972       0.03237        0.53276        -0.04708       0.48829        1.05515        361.69033      441.55146      314.24431      0.65031        246.21313      -7844.51788    98295.03997    
0.00127        1.23747        -7.44375       0.03235        0.27668        -0.76292       0.76792        -0.84296       380.39939      305.92448      412.62639      0.11016        246.2198       -7843.68454    85599.58624    
0.00342        9.67906        5.68574        0.03235        0.70335        -0.14112       0.28316        -2.35204       649.66345      528.66698      702.38534      0.29734        246.21856      -7841.75239    265493.83721   
0.00273        7.04789        15.46192       0.03235        1.1905         0.44625        -0.11863       -3.47392       586.88461      365.88644      670.6045       0.23751        246.21908      -7842.37674    94806.45474    
0.00697        2.50971        27.34411       0.03237        1.0681         0.82211        -0.24461       -0.40347       224.71079      161.9722       250.27108      0.60641        246.21403      -7850.75525    -91136.9192    
0.00911        10.01289       -25.33908      0.03238        0.40245        0.07738        0.33433        -0.12759       433.04102      423.71435      437.6243       0.79291        246.20979      -7840.06726    134726.05624   
0.01023        12.18033       22.83465       0.0324         0.29077        0.14534        0.06372        0.10564        458.7994       465.96511      455.16947      0.89055        246.20712      -7841.69502    178545.88235   
0.00438        10.94096       -27.51761      0.03237        0.26097        -1.51366       1.51664        0.30417        666.17291      679.77186      659.26982      0.38158        246.21763      -7843.72119    421291.28248   
0.00364        7.94068        0.9648         0.03235        0.79615        0.41241        0.08189        -3.53385       522.56766      242.57583      616.59505      0.31655        246.21837      -7841.68294    69426.98526    
0.0016         3.18315        18.64605       0.03235        1.33375        0.19835        0.07498        -3.25747       496.86548      222.31655      587.87735      0.13959        246.21968      -7843.46217    -13565.26116   
0.00994        12.76173       14.32595       0.03238        0.12576        0.20088        0.24371        -1.21457       431.98578      336.33038      472.59914      0.86568        246.20783      -7836.97137    134605.58119   
0.00946        16.57899       14.27262       0.03235        1.2235         0.45513        0.01072        -1.90017       497.50379      363.93027      552.2806       0.82355        246.20898      -7832.54678    41629.64237    
0.00997        10.80985       18.30782       0.03237        0.20841        -1.23617       1.28244        -0.96611       399.29861      317.87244      434.32171      0.86812        246.20776      -7837.57568    104962.15941   
0.00953        26.78764       -26.51886      0.03235        1.77403        -0.29892       0.31082        -4.07813       604.72244      343.77179      699.56941      0.82974        246.20882      -7826.29691    26837.53351    
0.00163        3.39428        -13.79807      0.03235        1.17761        -0.27866       0.4289         -0.94443       578.5877       526.76761      602.82888      0.14157        246.21967      -7843.41107    163340.26355   
0.01098        28.47574       -18.59945      0.03252        0.15347        -1.23831       1.28842        0.30026        678.74515      691.8222       672.12296      0.95568        246.20516      -7845.18081    451017.85141   
0.00689        10.83308       5.66428        0.03235        1.71253        0.26027        -0.01363       -2.74914       436.34315      154.17872      523.16127      0.59982        246.21416      -7842.09459    -100553.96643  
0.00546        15.74131       -2.97795       0.03238        0.35623        -0.27519       0.45071        -0.56685       696.43789      671.28978      708.67497      0.47505        246.21633      -7841.7088     424628.81202   
0.00534        9.85907        -3.30149       0.03237        0.21323        -0.09413       0.42092        -0.57103       551.64749      519.298        567.12933      0.46459        246.21649      -7842.3185     261134.32238   
0.00077        0.04582        12.86355       0.03234        1.01958        -0.90555       0.91583        0.22417        131.1207       175.47947      101.93534      0.06679        246.21993      -7842.97325    -99629.73126   
0.00593        17.07493       -22.92875      0.03235        1.74717        0.28421        -0.07561       -2.03764       663.28353      562.37188      708.35496      0.51581        246.21568      -7836.48444    166261.06312   
0.00892        14.30592       8.20269        0.03236        0.90845        0.27032        -0.08575       -0.66607       509.10337      467.83173      528.51057      0.77609        246.21021      -7835.3675     128875.89042   
0.00819        20.8544        -14.06505      0.03236        1.2336         -0.30059       0.54226        -1.81305       623.29503      527.67569      665.95637      0.71275        246.21175      -7831.98584    183891.83685   
